rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
89,"spotify:track:6WO7IDGLakjO38lsvI2gHB","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",59,98,3,"90439"
90,"spotify:track:1O2sdZviza9fQgHuRIXkYY","Rolf Zuckowski","Stups, der kleine Osterhase","Musik Fuer Dich",34,139,9,"90190"
91,"spotify:track:3Me5bYXeDXqjBVgug53Ula","LIZOT, KYANU","This Is The Life","Zeitgeist",39,79,140,"89916"
92,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Urban",15,82,133,"89294"
93,"spotify:track:7GUhiAHLoVy1V8ucQuZ3CB","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna)","Universal Republic Records",16,96,284,"89264"
94,"spotify:track:69phA1R4gmQsBFRQ3INW8C","Rich Amiri","ONE CALL","Internet Money Records / 10K Projects",55,100,56,"88907"
95,"spotify:track:5Tpojb1ynbO0MgfAwgDza5","Luciano, Hurts, 6PM RECORDS, SIRA","WONDERFUL LIFE","Four Music/6PM RECORDS",1,93,87,"88350"
96,"spotify:track:1CcLA0eaauck34YEIrvAAq","David Guetta, Kim Petras","When We Were Young (The Logical Song)","Parlophone UK",44,80,86,"88223"
97,"spotify:track:4RzIPi5kcw5gYAd07I8NDz","MADE, SHABAB, Rasa","À la Carte","MADE Entertainment",13,108,94,"87464"
98,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",13,88,82,"85737"
99,"spotify:track:0xcjCd9FoMNaYjPK7R8I1L","BIG TIM, Heinz Rudolf Kunze","Dein ist mein ganzes Herz","RCA Local",72,83,3,"85559"
100,"spotify:track:3ThmZJ7LQ3C20FpxU5kXJB","Bobby Vandamme","BANDIT","RCA & GOLD LEAGUE/GOVA Ent.",11,112,130,"85282"
101,"spotify:track:6WbDwAoc5xr0kFflHZW0A4","Amaru, Gringo Bamba","Blonde Chaya - Sped Up","Virgin",3,89,169,"85168"
102,"spotify:track:7qiUjLVo6zLj8WmxPMqoXD","CRO","Einmal um die Welt","BMG Rights Management",73,105,472,"85121"
103,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",10,97,1873,"84885"
104,"spotify:track:6LBmaJYwbLHfQwIreMCLlw","Nina Chuba","Wildberry Lillet","Jive",1,101,589,"84841"
105,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",95,110,380,"84003"
106,"spotify:track:4kjI1gwQZRKNDkw1nI475M","Travis Scott","MY EYES","Cactus Jack/Epic",9,132,227,"83784"
107,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,102,233,"83678"
108,"spotify:track:2bLqfJjuC5syrsgDsZfGmn","Timbaland, Keri Hilson, D.O.E.","The Way I Are","Interscope/Blackground Records",64,103,435,"83531"
109,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",26,109,73,"83355"
110,"spotify:track:7qoxdajngC0j9VXrcnephA","Alex Warren","Before You Leave Me","Atlantic Records",70,122,29,"83108"
111,"spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8","Olivia Rodrigo","obsessed","Olivia Rodrigo PS",62,104,3,"82349"
112,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",17,116,631,"81923"
113,"spotify:track:65zIby9Z03d1bhGvLNJNrA","Shy Smith","Soaked","Robots & Humans",30,126,49,"81867"
114,"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","a-ha","Take on Me","Rhino",63,124,108,"81320"
115,"spotify:track:14iwJXnTuI9qdcosMEB73h","Luca-Dante Spadafora, Beats by Luca","Ich nehm dich bei der Hand (SimsalaGrimm)","Zeitgeist",40,92,85,"81233"
116,"spotify:track:3h5TiWTqGxjSjFrbruPFH9","YG Marley","Praise Jah In The Moonlight","YG Marley Music",24,118,53,"80204"
117,"spotify:track:20I6sIOMTCkB6w7ryavxtO","Carly Rae Jepsen","Call Me Maybe","Silent Records IGA",110,123,43,"80024"
118,"spotify:track:6k9GHMPacpSjo5V2TZVbhf","Die drei ???","226 - Die Spur der Toten - Teil 01","EUROPA/Sony Music Family Entertainment",118,-1,1,"79076"
119,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",58,-1,159,"78853"
120,"spotify:track:5D34wRmbFS29AjtTOP2QJe","Ariana Grande","yes, and?","Republic Records",9,121,73,"78696"
121,"spotify:track:70ToiXlzl8N1EgfC07ZcZE","Future, Metro Boomin","Ice Attack","Wilburn Holding Co./Boominati/Epic/Republic",43,74,3,"78426"
122,"spotify:track:6vJMq94wRS6oqKV2jggzMc","Kontra K, Lana Del Rey","Summertime","Letzte Wölfe",1,115,221,"77983"
123,"spotify:track:6Qb7YsAqH4wWFUMbGsCpap","Dua Lipa","Training Season","Urban",34,120,38,"77410"
124,"spotify:track:2hFOXN8Eq2gXIGGMIdHdWJ","Ski Aggu, Endzone, Ericson","Party Sahne","jungeratze & Bamboo Artists",17,99,533,"77379"
125,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,106,1666,"77320"
126,"spotify:track:00dQwRD3LoDXazAEC4bzq2","AK AUSSERKONTROLLE","HABIBI","XY Records",18,87,10,"77077"
127,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",51,161,661,"77067"
128,"spotify:track:17NHXI2CJp7KgdcwcDnRx4","Marnik, Naeleck, VINAI","Boyz In Paris (with VINAI)","Signatune",49,119,219,"76887"
129,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",28,138,1025,"76289"
130,"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","WALK THE MOON","Shut Up and Dance","RCA Records Label",130,143,22,"76131"
131,"spotify:track:5RKvst7SDOCTWGlLcF6kSE","01099, Paul, Ski Aggu","Anders","01099 / Bamboo Artists / WMCE",6,125,338,"75581"
132,"spotify:track:5mI091LJVjocXAkJWQ2iWv","Die drei ???","226 - Die Spur der Toten - Teil 09","EUROPA/Sony Music Family Entertainment",132,-1,1,"75268"
133,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Mosley Music/Interscope Records",19,176,534,"75030"
134,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",7,186,234,"74728"
135,"spotify:track:6n4KvZFTLCYYI9UofvKLUc","Die drei ???","226 - Die Spur der Toten - Teil 06","EUROPA/Sony Music Family Entertainment",135,-1,1,"74714"
136,"spotify:track:7aEtCTIYjQJGABPEhOo8yi","Die drei ???","226 - Die Spur der Toten - Teil 10","EUROPA/Sony Music Family Entertainment",136,-1,1,"74686"
137,"spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V","Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean)","Epic",54,114,29,"74671"
138,"spotify:track:6Obb1FCQLZrVRvzXWdgDma","Bibi und Tina","Bibi und Tina Lied","Kiddinx/WM Germany",71,-1,236,"74606"
139,"spotify:track:0TEnjvnjJUZkuP0gwQyXku","Die drei ???","226 - Die Spur der Toten - Teil 08","EUROPA/Sony Music Family Entertainment",139,-1,1,"74539"
140,"spotify:track:5qEGAHerczFt3HmL9lhh4j","Miksu / Macloud, makko","Nachts wach (Lila Wolken Bootleg)","Futura",5,128,572,"74054"
141,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",22,188,1230,"74012"
142,"spotify:track:3eFSCzZhYfHH1tuQaNHpOr","Die drei ???","226 - Die Spur der Toten - Teil 07","EUROPA/Sony Music Family Entertainment",142,-1,1,"73780"
143,"spotify:track:2Pyfpd75r3dC3nDgVA4fnX","NOISETIME, Glasperlenspiel, NIKSTER, STEVIO","ECHT - Techno Mix","Polydor",57,111,87,"73570"
144,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",42,-1,1135,"73496"
145,"spotify:track:0oyVftLCYUPpEfDRJhJ5b8","Die drei ???","226 - Die Spur der Toten - Teil 12","EUROPA/Sony Music Family Entertainment",145,-1,1,"72890"
146,"spotify:track:5kcLwaUSMc4FpHV5XeejII","Die drei ???","226 - Die Spur der Toten - Teil 11","EUROPA/Sony Music Family Entertainment",146,-1,1,"72825"
147,"spotify:track:2gKtW3nJRGehet4hHnSPYc","Die drei ???","226 - Die Spur der Toten - Teil 05","EUROPA/Sony Music Family Entertainment",147,-1,1,"72782"
148,"spotify:track:1VKMKD8wUSJMljezV7NjsO","reezy, Hamza","PENNY","Four Music/Teenager Forever",3,133,17,"72713"
149,"spotify:track:4SNdsa0FX6VRekHWTXd4Ji","Die drei ???","226 - Die Spur der Toten - Teil 13","EUROPA/Sony Music Family Entertainment",149,-1,1,"72680"
150,"spotify:track:3B4NQutcy0evtRFqqAAQ6H","Lune","Kinder deiner Sonne","Columbia/Lune Records",73,140,3,"72402"
151,"spotify:track:48vIfHaK7by6x0T6ucpODL","Madison Beer","Make You Mine","Epic/Sing It Loud",50,164,43,"72105"
152,"spotify:track:0F86eHN7k60ORgk1wFAlVx","Die drei ???","226 - Die Spur der Toten - Teil 14","EUROPA/Sony Music Family Entertainment",152,-1,1,"71949"
153,"spotify:track:0fq2RzyyUoqELsONRF8ZzP","Ski Aggu, SIRA","mietfrei","jungeratze & Bamboo Artists",3,137,254,"71740"
154,"spotify:track:3FcqFCeCD6QRtRo6WGLCnC","Alligatoah","Willst du","Trailerpark",88,131,355,"71691"
155,"spotify:track:7vCKz9T9YxbUhA13xIZyEk","Die drei ???","226 - Die Spur der Toten - Teil 15","EUROPA/Sony Music Family Entertainment",155,-1,1,"71568"
