artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),8808346,1629821771,7,564,8808346,2023-01-01,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,Columbia,2021-09-17,[]
Olivia Rodrigo,good 4 u,12586645,1622311439,13,549,12586645,2023-01-01,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo PS,2021-05-25,['Pop']
Ed Sheeran,Shape of You,1887556,1619243788,1,2407,1887556,2023-01-01,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Atlantic Records UK,2024-12-31,"['Pop', 'Singer & Songwriter']"
"Bad Bunny, Chencho Corleone",Me Porto Bonito,8738392,1606842723,4,576,8738392,2023-01-01,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Rimas Entertainment LLC,2022-05-06,['Latin Musik']
Olivia Rodrigo,drivers license,13714177,1595963086,46,692,13714177,2023-01-08,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo PS,2021-01-15,['Pop']
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4626710,1581427006,100,812,4626710,2023-01-01,spotify:track:5nujrmhLynf4yMoMtj8AQF,Urban,2021-05-15,[]
Tate McRae,greedy,6282050,1557460665,14,466,6282050,2023-09-15,spotify:track:3rUGC1vUpkDG9CZFHMur1t,RCA Records Label,2023-11-17,"['Alternative', 'Pop']"
James Arthur,Say You Won't Let Go,1903496,1550587628,7,2321,1903496,2023-01-04,spotify:track:5uCax9HTNlzGybIStD3vDh,Columbia,2024-09-12,"['Pop', 'International Pop', 'Rock']"
Ruth B.,Dandelions,1772730,1550390291,194,1126,1772730,2023-01-01,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Columbia,2024-04-22,['Singer & Songwriter']
Eminem,Without Me,2404685,1536564586,188,1183,2404685,2023-01-01,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Aftermath,2024-06-07,['Rap/Hip Hop']
Ariana Grande,7 rings,10445538,1527086906,1,1000,10445538,2022-01-04,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Republic Records,2019-02-08,['Pop']
Adele,Easy On Me,19749704,1516065486,140,730,19749704,2023-01-01,spotify:track:46IZ0fSY2mpAiktS3KOqds,Columbia,2021-10-15,"['Pop', 'International Pop', 'Rock']"
OneRepublic,Counting Stars,1717699,1512990258,184,1351,1717699,2023-01-02,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,Mosley / Interscope,2024-08-21,['Pop']
"Bad Bunny, JHAYCO",DÁKITI,10086143,1511076194,9,728,10086143,2023-01-01,spotify:track:4MzXwWMhyBbmu6hOcLVD49,Rimas Entertainment LLC,2020-11-27,['Latin Musik']
Arctic Monkeys,505,1898527,1499735609,199,1094,1898527,2023-01-01,spotify:track:58ge6dfP91o9oXMzq3XkIS,Domino Recording Co,2024-11-11,['Alternative']
Taylor Swift,Anti-Hero,17390253,1495897147,1,548,17390253,2023-01-01,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,2022-10-21,[]
"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",8623941,1475187557,5,480,8623941,2023-01-01,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,DALE PLAY Records,2022-07-22,"['Rap/Hip Hop', 'Latin Musik']"
"Lady Gaga, Bradley Cooper",Shallow,5451577,1473733611,5,1259,5451577,2023-01-11,spotify:track:2VxeLyX666F8uXCJ0dZF8B,A Star is Born OST,2019-02-26,"['Filme/Videospiele', 'Filmmusik']"
Mariah Carey,All I Want for Christmas Is You,24863570,1460667104,1,471,24863570,2023-11-01,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Columbia,2024-12-24,['Pop']
