artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
"The Chainsmokers, Winona Oak",Hope,1968345,59018397,76,54,1968345,2019-01-04,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,Disruptor Records/Columbia,2019-02-01,['Dance']
Don Toliver,BANDIT,2314169,58845657,40,43,2314169,2024-02-02,spotify:track:7sTyAjxDXq9afwfSQy6D0s,Cactus Jack / Atlantic,2024-02-02,['Rap/Hip Hop']
"6ix9ine, Anuel AA",BEBE (feat. Anuel AA),1151866,58832475,13,191,1151866,2019-01-01,spotify:track:4KkUjFkcQvGvWekl8RATDn,"ScumGang Records / TenThousand Projects, LLC",2019-01-05,['Rap/Hip Hop']
"21 Savage, Metro Boomin",Runnin,3744137,58818972,9,54,3744137,2020-10-02,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",2020-10-02,['Rap/Hip Hop']
"TWISTED, Oliver Tree, Fast & Furious: The Fast Saga",WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,1225046,58802549,200,57,1225046,2023-01-02,spotify:track:5Zlb01Jcn0Ld49zazzZJSB,APG Inc – FF10,2023-01-13,['Electro']
"Israel & Rodolffo, Mari Fernandez",Seu Brilho Sumiu - Ao Vivo,1593892,58772282,186,46,1593892,2023-04-15,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Som Livre,2023-05-13,['Brasilianische Musik']
"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,1292921,58568162,98,58,1292921,2022-04-01,spotify:track:6bQ5823aHmFVKLZW8E7rRo,DALE PLAY Records / SSJ Records,2022-04-29,['Latin Musik']
Lil Tjay,In My Head,2334194,58411060,20,46,2334194,2022-04-01,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,Columbia,2022-04-01,"['Rap/Hip Hop', 'Pop']"
"Daddy Yankee, Anuel AA, Kendo Kaponi",Don Don,1064178,58221825,86,67,1064178,2020-09-11,spotify:track:3kml9ZdpT7UYk1ugkjqOzt,El Cartel Records,2020-09-18,['Rap/Hip Hop']
"21 Savage, Travis Scott, Metro Boomin",née-nah,4302555,58078529,7,29,4302555,2024-01-12,spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,"Slaughter Gang, LLC/Epic Records",2024-01-12,['Rap/Hip Hop']
Tom Walker,Just You and I,1107988,58037838,200,68,1107988,2019-03-03,spotify:track:03x2rVJRFUrvwlfxoHd9Mo,Relentless Records,2019-04-04,"['Alternative', 'Indie Pop', 'Indie Rock', 'Pop', 'International Pop', 'Rock', 'Singer & Songwriter']"
TWICE,Talk that Talk,1769615,57988318,49,49,1769615,2022-08-26,spotify:track:0RDqNCRBGrSegk16Avfzuq,Republic Records - TWICE,2022-08-26,['Asiatische Musik']
"¥$, Kanye West, Ty Dolla $ign",FUK SUMN,4569802,57934097,110,29,4569802,2024-02-10,spotify:track:5rlXuCLnMdfo85079qXHoz,YZY,2024-02-11,['Rap/Hip Hop']
"PSY, SUGA",That That (prod.&feat. SUGA of BTS),2517725,57882567,22,42,2517725,2022-04-29,spotify:track:5oH4DQAuu1J1800RzUsBWa,P NATION,2022-04-30,['Asiatische Musik']
Oxlade,KU LO SA - A COLORS SHOW,1294961,57760864,194,53,1294961,2022-09-05,spotify:track:2WigMwGJysIh9fRnSJvpjn,Troniq Inc,2022-09-16,"['Afrikanische Musik', 'Pop']"
"Megan Thee Stallion, RM",Neva Play (feat. RM of BTS),4517808,57754497,10,27,4517808,2024-09-06,spotify:track:2ZqTbIID9vFPTXaGyzbb4q,Hot Girl Productions,2024-09-06,['Rap/Hip Hop']
"Malu, DJ Lucas Beat",Disco Arranhado - Funk Remix,1361750,57728893,113,62,1361750,2021-03-27,spotify:track:2Gjt4rUHBUH0rMKpBg0hF4,Universal Music Ltda.,2021-04-17,['Brasilianische Musik']
Lomiiel,HAY LUPITA,1869221,57582193,186,40,1869221,2024-07-16,spotify:track:5jFA0f4ZDGLbQP4nxzL8D4,Open Shift Distribution,2024-07-20,[]
Lil Skies,I,1291747,57532684,67,74,1291747,2019-03-01,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,All We Got Ent.,2019-03-01,['Rap/Hip Hop']
Taylor Swift,champagne problems,5799455,57514543,3,43,5799455,2020-12-11,spotify:track:0sY6ZUTh4yoctD8VIXz339,Taylor Swift,2020-12-11,[]
"Bizarrap, Natanael Cano",Entre las de 20,2627149,57422371,32,34,2627149,2024-04-04,spotify:track:61OsemtnuPJ5R0LMEkw60S,DALE PLAY Records,2024-04-04,['Latin Musik']
Selena Gomez,Single Soon,3879835,57367493,10,33,3879835,2023-08-25,spotify:track:6iF4RgIjDvDqyW13PezSj3,Interscope Records,2023-08-25,['Pop']
Juice WRLD,Already Dead,3704299,57299790,14,40,3704299,2021-11-12,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,Grade A Productions/Interscope Records,2021-11-12,['Rap/Hip Hop']
"Manuel Turizo, Anuel AA",Te Quemaste,897914,57287205,182,77,897914,2019-09-07,spotify:track:4fj7e6Tc48Bmomwyz2Z2XC,Sony Music Latin/La Industria,2019-10-31,['Rap/Hip Hop']
Anuel AA,Reggaetonera,1229434,57039782,81,75,1229434,2020-05-29,spotify:track:6yVkakCN460KOVol9ZazjH,"2020 Real Hasta La Muerte, LLC",2020-05-29,['Latin Musik']
"Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",1948653,56998803,176,40,1948653,2023-05-27,spotify:track:5QW9K4A1gMnIi94YUxtsfM,Saregama,2023-06-09,"['Asiatische Musik', 'Filme/Videospiele', 'Bollywood']"
FIFTY FIFTY,Cupid,1396233,56962408,150,47,1396233,2023-04-02,spotify:track:5mg3VB3Qh7jcR5kAAC4DSV,ATTRAKT,2023-05-06,[]
"6ix9ine, Anuel AA",MALA (feat. Anuel AA),1055199,56889039,44,102,1055199,2019-01-01,spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,"ScumGang Records / TenThousand Projects, LLC",2019-01-12,['Rap/Hip Hop']
Lady Gaga,Disease,4452496,56764612,12,29,4452496,2024-10-25,spotify:track:19KlZwqlT3fguP2BeHF1Q1,Interscope Records,2024-10-25,['Pop']
Billie Eilish,BITTERSUITE,5277647,56712973,21,26,5277647,2024-05-17,spotify:track:7DpUoxGSdlDHfqCYj0otzU,Darkroom/Interscope Records,2024-05-17,['Alternative']
"DJ Ivis, Tarcísio do Acordeon",Esquema Preferido,1269917,56558088,182,64,1269917,2021-01-28,spotify:track:27X3qzgB0Show6qfw5wNOK,DJ Ivis,2021-02-13,['Brasilianische Musik']
PEDRO SAMPAIO,GALOPA,1354594,56407335,139,62,1354594,2022-01-01,spotify:track:2wG1R0uDFwyobcWzVssC1J,WM Brazil,2022-01-01,['Pop']
Taylor Swift,Blank Space (Taylor's Version),10359947,56332059,3,25,10359947,2023-10-27,spotify:track:45wMBGri1PORPjM9PwFfrS,Taylor Swift,2023-10-27,[]
"6ix9ine, Tory Lanez",KIKA (feat. Tory Lanez),1147480,56248812,3,99,1147480,2019-01-01,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,"ScumGang Records / TenThousand Projects, LLC",2019-01-11,['Rap/Hip Hop']
"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",1069450,56203420,189,64,1069450,2021-06-24,spotify:track:7COGuXyTr12KvdaYXMqheC,DALE PLAY Records,2021-07-24,['Latin Musik']
"Tyler, The Creator",Rah Tah Tah,8372130,56099623,5,21,8372130,2024-10-28,spotify:track:5RePVWy39tLpHH0WwXgBsK,Columbia,2024-10-28,['Rap/Hip Hop']
Taylor Swift,The Man,4612079,55994906,4,35,4612079,2019-08-23,spotify:track:3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,2019-08-23,[]
"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),901180,55941878,142,73,901180,2019-08-16,spotify:track:5pAbCxt9e3f81lOmjIXwzd,FAMM,2019-08-23,['R&B']
"Eden Muñoz, Junior H",Abcdario,2107527,55927416,141,37,2107527,2023-05-14,spotify:track:0qCPD6ilr9nXkI4KVZgcns,Lizos Music,2023-05-20,['Latin Musik']
Gunna,on one tonight,1634841,55889317,171,39,1634841,2024-11-08,spotify:track:6EUcP55GlbmsmCzfL2vxtZ,300 Entertainment,2024-12-20,['Rap/Hip Hop']
Chino Pacas,Morena Canela,1595554,55812237,199,39,1595554,2024-11-17,spotify:track:0NsGFMIo2aNbAkJu48ndaf,Street Mob Records/PFL/Geffen Records,2024-12-07,['Latin Musik']
"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),2511684,55795252,153,40,2511684,2023-12-31,spotify:track:5rb9QrpfcKFHM1EUbSIurX,LaFace Records,2024-02-12,['R&B']
"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",1299163,55697121,152,57,1299163,2021-08-16,spotify:track:2rOnSn2piaqLAlYjtfUBlY,Sony Music Entertainment India Pvt. Ltd.,2021-08-21,"['Filme/Videospiele', 'Filmmusik', 'Bollywood']"
"Crissin, Totoy El Frio, Natan & Shander",Poblado,1563356,55462023,199,46,1563356,2021-05-10,spotify:track:7xT1n5JKpB0bMPh6FL589e,Kapital Music & Entertainment,2021-06-05,[]
"Silk City, Dua Lipa, Mark Ronson, Diplo",Electricity,907899,55379203,13,187,907899,2019-01-01,spotify:track:5N4erncE7kuUccm7zEmwzk,Columbia,2019-01-11,"['Dance', 'Pop']"
Bad Bunny,Pero Ya No,3702864,55364717,14,41,3702864,2020-02-29,spotify:track:75pQqzwgCjUOSSy5CpmAjy,Rimas Entertainment LLC,2020-02-29,['Latin Musik']
Zé Felipe,Malvada,1665809,55338675,178,56,1665809,2022-02-04,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Som Livre,2022-02-26,['Brasilianische Musik']
Adele,Love In The Dark,1714032,55264373,189,52,1714032,2021-10-10,spotify:track:0DuWDLjriRPjDRoPgaCslY,XL Recordings,2021-10-15,['Pop']
Jin,The Astronaut,4146790,55190895,17,37,4146790,2022-10-28,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,BIGHIT MUSIC,2022-10-28,['Asiatische Musik']
Maroon 5,Nobody's Love,1648747,55146187,61,56,1648747,2020-07-24,spotify:track:3kwgqoBqTwoAH4nT29TYrq,Interscope Records*,2020-07-24,['Pop']
Musical Youth,Pass The Dutchie,1327774,54907683,147,52,1327774,2022-06-02,spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,Geffen,2022-06-10,['Pop']
The Jackson 5,I Saw Mommy Kissing Santa Claus,3269534,54854824,75,39,3269534,2023-12-23,spotify:track:3lkYS3iMpWMVpaJ0yJAFrJ,UNI/MOTOWN,2024-12-25,[]
Vince Guaraldi Trio,Christmas Time Is Here,4536444,54740619,31,39,4536444,2023-12-22,spotify:track:3bMfUUpzUzqWp9II00yRhE,Fantasy Records,2024-12-25,[]
Agust D,Haegeum,3937168,54734277,11,29,3937168,2023-04-21,spotify:track:4bjN59DRXFRxBE1g5ne6B1,BIGHIT MUSIC,2023-04-21,['Asiatische Musik']
Beach Bunny,Cloud 9,1070374,54678289,129,62,1070374,2021-03-28,spotify:track:6vFsBXYczYsP0H3lgunZOm,Mom+Pop,2021-04-19,['Alternative']
"Idina Menzel, AURORA",Into the Unknown,1299639,54614045,183,58,1299639,2020-01-01,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,Walt Disney Records,2019-12-02,"['Filme/Videospiele', 'Filmmusik']"
Peso Pluma,BYE,2111969,54598840,32,69,2111969,2023-06-23,spotify:track:57fyAFYS2zPTPMOQP1DZUn,Double P Records,2023-06-23,[]
SUICIDAL-IDOL,ecstacy (slowed),1431805,54433220,189,43,1431805,2023-10-01,spotify:track:1JgknGBbrfmEHeOZH051SS,AVR,2023-10-20,['Dance']
"Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",sentaDONA (Remix) s2,1693912,54381929,178,55,1693912,2022-03-19,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,Davi Kneip,2022-03-26,"['Pop', 'Soul & Funk']"
"Lunay, Gaby Music, Chris Jedi",Soltera,1035131,54381541,173,66,1035131,2019-03-09,spotify:track:4T4CZ3Q4z3GG7lU720YYhM,round2media - LaFamilia,2019-03-30,['Latin Musik']
Jin,I'll Be There,4692222,54308479,9,25,4692222,2024-10-25,spotify:track:2Qcbspnftnon37jibwyvMU,BIGHIT MUSIC,2024-10-25,['Asiatische Musik']
"Cynthia Erivo, Ariana Grande",Defying Gravity,2506409,54257393,160,29,2506409,2024-11-22,spotify:track:5QMrH5nszZZR3nefIj6Mar,Universal Studios and Republic Records,2024-12-02,"['Filme/Videospiele', 'Filmmusik']"
Lauv,Feelings,1138082,54223067,73,62,1138082,2019-09-20,spotify:track:0y675KDleCZEudjoeL1sQQ,Lauv,2019-09-20,['Pop']
Drake,Family Matters,5419731,54161299,13,21,5419731,2024-05-04,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,2024-05-06,['Rap/Hip Hop']
Daddy Yankee,PROBLEMA,1051033,54160757,165,67,1051033,2021-02-26,spotify:track:2dl5K2ScW7jYhAhuem06cm,Republic Records,2021-03-20,"['Rap/Hip Hop', 'Latin Musik']"
"Lizzo, Cardi B",Rumors (feat. Cardi B),2916657,54101401,18,42,2916657,2021-08-13,spotify:track:6KgtcmCF9Ky68XC7ezxl3s,Nice Life/Atlantic,2021-08-13,['Pop']
"Labrinth, Zendaya",All For Us - from the HBO Original Series Euphoria,1398702,54051777,171,53,1398702,2022-01-18,spotify:track:10hMM5nsZQf66ldBlgWBfG,Republic Records,2022-02-16,"['Filme/Videospiele', 'Filmmusik']"
Drake,Sticky,5153548,54041679,9,39,5153548,2022-06-17,spotify:track:4rmVZajAF7PkrCagGPHbqa,OVO,2022-06-17,['Dance']
Kenia OS,Malas Decisiones,1446421,53948738,159,44,1446421,2023-03-04,spotify:track:6Xj014IHwbLVjiVT6H89on,Sony Music México / 5020 RCRDS,2023-03-25,['Pop']
Joost,Europapa,3287462,53903510,104,27,3287462,2024-03-01,spotify:track:0uHrMbMv3c78398pIANDqR,Joost Klein,2024-05-13,['Pop']
Ozuna,Te Soñé de Nuevo,915770,53872598,160,72,915770,2019-06-07,spotify:track:5s8LepdwU0THzpd0M7nLsa,Aura Music Corp.,2019-06-28,['Latin Musik']
"Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night,1040613,53731462,198,68,1040613,2019-05-10,spotify:track:11o2y87vqODipLK98a1v34,Polydor Records,2019-05-24,['Dance']
Dean Martin,"Baby, It's Cold Outside",3372452,53730025,61,39,3372452,2023-12-22,spotify:track:4MrfQL4TYQXJBlZYpAHTuE,Capitol Records,2021-12-25,[]
Beyoncé,ALIEN SUPERSTAR,3470344,53719561,12,42,3470344,2022-07-29,spotify:track:1Hohk6AufHZOrrhMXZppax,Parkwood Entertainment/Columbia,2022-07-29,['Pop']
"Nicky Jam, Romeo Santos",Fan de Tus Fotos,874941,53632417,184,71,874941,2021-02-25,spotify:track:1mauYRwbpoGQX6itP2FAJC,Sony Music Latin,2021-03-20,"['Rap/Hip Hop', 'R&B', 'Latin Musik']"
Taylor Swift,The Prophecy,5154617,53590963,32,25,5154617,2024-04-19,spotify:track:18WFFUIsewmA8g31KAeo3e,Taylor Swift,2024-04-19,[]
Ariana Grande,fake smile,4871271,53532993,8,35,4871271,2019-02-08,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,Republic Records,2019-02-08,['Pop']
Stevie Wonder,What Christmas Means To Me,3271878,53418359,48,41,3271878,2023-12-22,spotify:track:5eK52eAjFLLBNhOUIuBnBe,UNI/MOTOWN,2023-12-25,['R&B']
Taylor Swift,Clara Bow,9564186,53278219,16,19,9564186,2024-04-19,spotify:track:1UlhrRvYzbHEyugEDspXUB,Taylor Swift,2024-04-19,[]
Steve Lacy,Static,1145022,53265849,186,53,1145022,2022-09-06,spotify:track:4OmfWzukSVD140NiAIEjem,L-M Records/RCA Records,2022-09-23,['R&B']
Halsey,Nightmare,2222486,53227435,26,42,2222486,2019-05-17,spotify:track:340UVheS8z3ncW9TTUhAbc,Capitol Records,2019-05-17,['Alternative']
Taylor Swift,The Black Dog,7011116,53200234,20,22,7011116,2024-04-19,spotify:track:62E2nR0od0M5HYxuYLaDz7,Taylor Swift,2024-04-19,[]
"Olivia Rodrigo, Disney","All I Want - From ""High School Musical: The Musical: The Series""",1199402,53199370,192,67,1199402,2020-01-06,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,Walt Disney Records,2021-01-13,"['Filme/Videospiele', 'Filmmusik']"
The Weeknd,Out of Time,4138495,53139758,8,37,4138495,2022-01-07,spotify:track:2SLwbpExuoBDZBpjfefCtV,XO / Republic Records,2022-01-07,['R&B']
Bernadya,"Untungnya, Hidup Harus Tetap Berjalan",1653815,53102050,178,36,1653815,2024-08-25,spotify:track:2gcMYiZzzmzoF8PPAfL3IO,Juni Records,2024-09-06,['Pop']
Jung Kook,Never Let Go,5511530,53072706,14,26,5511530,2024-06-07,spotify:track:2nRMW95dnOILirpjbksLTs,BIGHIT MUSIC,2024-06-07,[]
Donny Hathaway,This Christmas,4130249,53042357,92,29,4130249,2023-12-09,spotify:track:7MSYSOobsombc1mbDWFxtD,Rhino Atlantic,2023-12-25,['R&B']
"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),2244409,52989064,24,46,2244409,2020-09-18,spotify:track:7e1VoRlNumuEkXlITMHKLE,Warner Records,2020-09-18,"['Rap/Hip Hop', 'Latin Musik']"
"Guilherme & Benuto, Hugo & Guilherme",Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1404096,52941188,189,52,1404096,2023-01-01,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Sony Music Entertainment,2022-12-31,"['Rock', 'Hard Rock', 'Heavy Metal']"
"Migrantes, Alico",Si Me Tomo Una Cerveza,1175384,52866261,196,64,1175384,2020-11-22,spotify:track:3lCbsHaN1wCxyDzcNN2x4N,LEB Records,2021-01-01,['Latin Musik']
"Chefin, Mainstreet",212,1198245,52844303,190,55,1198245,2022-01-19,spotify:track:3QGxgNaqaFSpORp2OVLXHR,Mainstreet Records,2022-02-26,['Rap/Hip Hop']
"NAV, Gunna, Travis Scott",Turks (feat. Travis Scott),2855163,52798310,17,42,2855163,2020-03-27,spotify:track:0lSZh5W0wDeurkGzLYY6hf,Republic Records,2020-03-27,[]
"JHAYCO, Anuel AA, J Balvin",Medusa,1206220,52776270,174,59,1206220,2020-02-06,spotify:track:3qM0vBxIe4VUbK0Z0smuVP,N&E Entertainment LLC,2020-02-14,"['Rap/Hip Hop', 'Latin Musik']"
Drake,Virginia Beach,8090809,52746574,1,25,8090809,2023-10-06,spotify:track:3eP13S8D5m2cweMEg3ZDed,OVO/Republic,2023-10-06,['Rap/Hip Hop']
Travis Scott,YOSEMITE,1014270,52742158,17,188,1014270,2020-04-22,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Cactus Jack / Epic,2019-01-11,['Rap/Hip Hop']
KAROL G,SEJODIOTO,1302270,52728932,72,56,1302270,2021-09-24,spotify:track:704LUEih663hiE3CnyUrFW,UMLE - Latino,2021-09-24,"['Rap/Hip Hop', 'Latin Musik']"
"Drake, 21 Savage",Circo Loco,6534486,52721365,10,26,6534486,2022-11-04,spotify:track:7GeTsDIc5ykNB6lORO6Cee,OVO / Republic Records,2022-11-04,['Rap/Hip Hop']
Superstar Pride,PAINTING PICTURES,2258262,52639446,115,35,2258262,2023-02-20,spotify:track:7oLKoGzQVwjZ91AzCn560T,Tha Lights Global,2023-02-28,['Rap/Hip Hop']
"TAEYANG, Jimin",VIBE (feat. Jimin of BTS),3562808,52578367,12,34,3562808,2023-01-13,spotify:track:61AZsmFB3VoJdmraMk5ZSn,THEBLACKLABEL/Interscope Records,2023-01-13,[]
"Travis Scott, Young Thug, M.I.A.",FRANCHISE (feat. Young Thug & M.I.A.),3665233,52573445,7,38,3665233,2020-09-25,spotify:track:4jVBIpuOiMj1crqd8LoCrJ,Cactus Jack/Epic,2020-09-25,['Rap/Hip Hop']
Gusttavo Lima,Ficha Limpa,1252697,52564667,178,57,1252697,2021-06-19,spotify:track:5SwyN9hzmWjBsINlif8li8,Sony Music Entertainment,2021-09-04,['Brasilianische Musik']
TWICE,I CAN'T STOP ME,1513019,52549802,68,53,1513019,2020-10-26,spotify:track:37ZtpRBkHcaq6hHy0X98zn,Republic Records - TWICE,2020-10-27,['Asiatische Musik']
JENNIE,You & Me,3774569,52533531,18,33,3774569,2023-10-07,spotify:track:6gcuJpHu0Ey30D5WR76y98,YG Entertainment/Interscope Records,2023-10-07,"['Pop', 'R&B']"
"Xavi, Tony Aguirre",Modo DND,1483933,52369328,175,40,1483933,2023-12-28,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,Interscope Records,2024-01-20,[]
Bad Bunny,HACIENDO QUE ME AMAS,5033160,52105107,4,44,5033160,2020-11-27,spotify:track:26QApq0cuO9brJigr0C0W4,Rimas Entertainment LLC,2020-11-27,['Latin Musik']
"Zé Felipe, Mc Danny",Toma Toma Vapo Vapo,1864872,52077325,166,53,1864872,2022-01-01,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Som Livre,2022-01-01,['Brasilianische Musik']
"Kendrick Lamar, Dody6",hey now (feat. dody6),6204799,52000504,20,20,6204799,2024-11-22,spotify:track:6CG7UePo6mydQbNr4tlkp8,"pgLang, under exclusive license to Interscope Records",2024-11-23,[]
"Offset, Cardi B",Clout (feat. Cardi B),918886,51953252,128,69,918886,2019-02-22,spotify:track:59ywHNwwchG4nZJMLyxSzd,Quality Control Music/Motown Records,2019-02-22,[]
Peso Pluma,Bye,2400036,51816576,171,28,2400036,2023-05-26,spotify:track:6n2P81rPk2RTzwnNNgFOdb,Double P Records,2023-06-03,[]
BTS,ON,2495156,51725140,23,45,2495156,2022-06-10,spotify:track:0fZRNhPJ4AGmwY7rkpdbqK,BIGHIT MUSIC,2020-02-22,['Asiatische Musik']
"Diane Guerrero, Stephanie Beatriz",What Else Can I Do?,1129002,51723355,173,54,1129002,2022-01-04,spotify:track:3XoYqtiWHhsk59frZupImG,Walt Disney Records,2022-01-29,"['Filme/Videospiele', 'Filmmusik']"
Dean Martin,Rudolph The Red-Nosed Reindeer,3686808,51715887,59,35,3686808,2023-12-22,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,Capitol Records,2023-12-24,[]
"Alvaro Diaz, Rauw Alejandro",Problemón,1015423,51696098,191,61,1015423,2022-01-18,spotify:track:1mSviQV9iQnGSRyvTIuxAj,"UMG Recordings, Inc./Universal Music Latino",2022-02-12,"['Rap/Hip Hop', 'Latin Musik']"
"21 Savage, Metro Boomin, Drake",Mr. Right Now (feat. Drake),3492862,51608488,14,43,3492862,2020-10-02,spotify:track:4Q34FP1AT7GEl9oLgNtiWj,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",2020-10-02,['Rap/Hip Hop']
Gusttavo Lima,Bloqueado - Ao Vivo,1354930,51598916,197,53,1354930,2022-01-01,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Sony Music Entertainment,2022-01-22,[]
"Bizarrap, Arcángel","Arcángel: Bzrp Music Sessions, Vol. 54",4232590,51526766,6,25,4232590,2023-03-23,spotify:track:7cQ0LAxT5HHCLGbxcjaxac,DALE PLAY Records,2023-03-23,['Rap/Hip Hop']
"Kanye West, XXXTENTACION",True Love,3099946,51482863,14,35,3099946,2022-05-27,spotify:track:06JvOZ39sK8D8SqiqfaxDU,Columbia,2022-05-27,['Rap/Hip Hop']
"Brett Eldredge, Meghan Trainor","Baby, It's Cold Outside (feat. Meghan Trainor)",3034953,51374567,33,61,3034953,2023-12-23,spotify:track:5Q2P43CJra0uRAogjHyJDK,Atlantic Nashville,2020-12-25,[]
"Riton, Oliver Heldens, Vula",Turn Me On (feat. Vula),1286718,51366320,176,69,1286718,2020-01-01,spotify:track:0qaWEvPkts34WF68r8Dzx9,Ministry of Sound Recordings,2019-12-31,"['Dance', 'Pop', 'International Pop', 'Rock']"
"BlocBoy JB, Drake",Look Alive (feat. Drake),841438,51316997,6,392,841438,2019-01-01,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,Bloc Nation,2019-01-11,['Rap/Hip Hop']
IVE,ELEVEN,1081977,51231326,185,57,1081977,2022-01-01,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,STARSHIP Entertainment,2021-12-09,"['Asiatische Musik', 'Electro']"
Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,881256,51224204,4,305,881256,2019-01-01,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,UMGRI Interscope,2019-01-09,['Pop']
"Sleepy Hallow, Fousheé",Deep End Freestyle,1137498,51112049,189,58,1137498,2020-05-12,spotify:track:4zTPYAf5scZdp0LnwPPeWK,Winners Circle Entertainment Inc / EMPIRE,2020-06-03,['Rap/Hip Hop']
Matuê,Quer Voar,1241073,50984557,161,56,1241073,2021-08-11,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Sony Music Entertainment,2021-08-13,['Filme/Videospiele']
"Kanye West, Lil Pump",I Love It (& Lil Pump),1005530,50959569,1,180,1005530,2019-01-01,spotify:track:4S8d14HvHb70ImctNgVzQQ,"Getting Out Our Dreams, Inc./Def Jam Recordings",2019-02-22,['Rap/Hip Hop']
"Big Sean, Post Malone",Wolves (feat. Post Malone),1207404,50954446,75,56,1207404,2020-09-04,spotify:track:33gwZOGJWEZ7dRWPqPxBEZ,"Getting Out Our Dreams, Inc./Def Jam Recordings",2020-09-04,[]
Olivia Rodrigo,the grudge,4411485,50923309,15,26,4411485,2023-09-08,spotify:track:3Nl5OkkmS5DaBZvuYofpAt,Olivia Rodrigo PS,2023-09-08,['Pop']
"Bizarrap, L-Gante","L-Gante: Bzrp Music Sessions, Vol.38",981678,50920088,142,62,981678,2021-03-12,spotify:track:1Crj1zkRMpsEjb9NOR6Zof,DALE PLAY Records,2021-03-27,['Latin Musik']
4batz,act ii: date @ 8,1537886,50838853,197,39,1537886,2024-01-26,spotify:track:4HMop4Re0iucehmF7mgV27,4Batz,2024-03-08,['R&B']
BLACKPINK,Typa Girl,4356002,50776679,8,34,4356002,2022-09-16,spotify:track:0L8LOav65XwLjCLS11gNPD,YG Entertainment/Interscope Records,2022-09-16,['Pop']
Kanye West,Jail,9328254,50762019,2,20,9328254,2021-08-29,spotify:track:42ZrMq4BKsWDrrbMnMRYaK,Rock The World/IDJ/Kanye LP7,2021-08-30,['Rap/Hip Hop']
Roddy Ricch,late at night,1571687,50750729,59,53,1571687,2021-06-04,spotify:track:1fxYz1s15pyZLsJT0Hdh1m,Atlantic Records,2021-06-04,['Rap/Hip Hop']
"Becky G, El Alfa",FULANITO,1125749,50660859,185,56,1125749,2021-07-08,spotify:track:59L8x0xy8njj75vzVCPMqg,Kemosabe Records/RCA Records/Sony Music Latin,2021-08-06,['Latin Musik']
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,938419,50614200,165,64,938419,2020-01-01,spotify:track:0RDgqtvOHLwcI6yz9bjsZV,Rich Music,2020-01-17,"['Rap/Hip Hop', 'Latin Musik']"
Drake,Behind Barz - Bonus,1392533,50483678,76,60,1392533,2019-09-13,spotify:track:4B7fTyj1FIPvP9tT5X3DnR,OVO Sound,2019-09-20,"['Filme/Videospiele', 'Filmmusik']"
