rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
141,spotify:track:4qeMMEoVX97kGLbGgfFm2r,Ed Sheeran,One Life,Atlantic Records UK,141,-1,1,983595,2022-05-27,2022-05,['Pop']
117,spotify:track:3RhyHYnYxuGnP8njFlNxHq,Tate McRae,don't come back,RCA Records Label,117,-1,1,1089390,2022-05-27,2022-05,"['Electronic', 'Pop']"
14,spotify:track:06JvOZ39sK8D8SqiqfaxDU,"Kanye West, XXXTENTACION",True Love,Columbia,14,-1,1,3099946,2022-05-27,2022-05,['Hip Hop']
19,spotify:track:7fYRg3CEbk6rNCuzNzMT06,"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),Columbia,19,-1,1,2851367,2022-05-27,2022-05,"['Alternative/Indie', 'Electronic', 'Pop']"
136,spotify:track:7B4uYqxTpTOS1sgxFB9Ann,"Sidhu Moose Wala, Wazir Patar",The Last Ride,Sidhu Moose Wala,136,-1,1,923222,2022-05-30,2022-05,['Latin Music']
120,spotify:track:5W7DOVGQLTigu09afW7QMT,Sidhu Moose Wala,295,Sidhu Moose Wala,120,-1,1,1040210,2022-06-01,2022-06,"['Latin Music', 'Hip Hop']"
147,spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,Musical Youth,Pass The Dutchie,Geffen,147,-1,1,935586,2022-06-02,2022-06,"['Reggae', 'Pop']"
198,spotify:track:31tf1qEai5o5f4r66Kd0pU,Childish Gambino,Me and Your Mama,Glassnote - VMG,198,-1,1,813270,2022-06-02,2022-06,"['Rock', 'R&B/Soul', 'Hip Hop']"
49,spotify:track:2meHtZ7N97pJfvTL4hYtfv,Post Malone,Insane,Mercury Records/Republic Records,49,-1,1,1905573,2022-06-03,2022-06,['Hip Hop']
89,spotify:track:1oc92BMKYkNxK17C2GtyRM,Polo G,Distraction,Columbia,89,-1,1,1416952,2022-06-03,2022-06,['Hip Hop']
84,spotify:track:5Ja2u1FPlVxrxeMWEa2dcn,Post Malone,When I’m Alone,Mercury Records/Republic Records,84,-1,1,1471415,2022-06-03,2022-06,"['Rock', 'Hip Hop']"
83,spotify:track:7JyFwJC3uRpiNfq7oKafgn,Post Malone,Euthanasia,Mercury Records/Republic Records,83,-1,1,1472260,2022-06-03,2022-06,['Hip Hop']
30,spotify:track:6Kfoo60npYPdvNxMPMiDpX,Post Malone,Wrapped Around Your Finger,Mercury Records/Republic Records,30,-1,1,2239612,2022-06-03,2022-06,"['Pop', 'Hip Hop']"
22,spotify:track:67dU06KGaJHLLlo5Y5bkD2,Post Malone,Reputation,Mercury Records/Republic Records,22,-1,1,2507274,2022-06-03,2022-06,"['Alternative/Indie', 'Hip Hop']"
29,spotify:track:1NvpO1o8SpkdH3txtJQQc7,Post Malone,Lemon Tree,Mercury Records/Republic Records,29,-1,1,2244500,2022-06-03,2022-06,['Hip Hop']
174,spotify:track:4RtPruLRZbyirtJGqYHPQm,Duki,Antes de Perderte,DALE PLAY Records / SSJ Records,174,-1,1,926525,2022-06-03,2022-06,['Latin Music']
142,spotify:track:0lmRKkc33g1N9fWW9nZPVc,Post Malone,"New Recording 12, Jan 3, 2020",Mercury Records/Republic Records,142,-1,1,1032303,2022-06-03,2022-06,['Hip Hop']
107,spotify:track:2GUSz3vtf8jhVXri1CTrQX,Post Malone,Waiting For A Miracle,Mercury Records/Republic Records,107,-1,1,1228343,2022-06-03,2022-06,['Hip Hop']
189,spotify:track:7qD2vjd3btuOgwpQPEY7ci,"Mc Don Juan, MC G15, Mc Davi",EU VOU COM CARINHO ELA QUER COM FORÇA,WM Brazil,189,-1,1,877164,2022-06-04,2022-06,['Latin Music']
191,spotify:track:1EAzCHtS45JvyXNSposHCY,Christian Nodal,Girasol,"Producciones Ladon, S.A de C.V./Sony Music México",191,-1,1,875711,2022-06-04,2022-06,['Rock']
129,spotify:track:4hceSKjrkDTO0nMKFcb3sj,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",DALE PLAY Records,129,-1,1,1009001,2022-06-09,2022-06,"['Electronic', 'Hip Hop']"
143,spotify:track:6bYJAOHKCvy9cSEAUR8NvG,BTS,Burning Up (Fire),BIGHIT MUSIC,143,-1,1,1098148,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Hip Hop']"
145,spotify:track:0fZRNhPJ4AGmwY7rkpdbqK,BTS,ON,BIGHIT MUSIC,21,-1,45,1096919,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Metal']"
3,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,3,-1,1,7178605,2022-06-10,2022-06,['Asian Music']
128,spotify:track:5S5Pnnyx7I4WLtOYeeVSVM,BTS,Danger,BIGHIT MUSIC,128,-1,1,1153157,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Hip Hop']"
108,spotify:track:43qX7PiMfluhGyrJrjcP9p,BTS,I Need U,BIGHIT MUSIC,108,-1,1,1221258,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Hip Hop']"
109,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,BTS,Life Goes On,BIGHIT MUSIC,3,-1,199,1215095,2022-06-10,2022-06,"['Asian Music', 'Pop']"
116,spotify:track:2GXWzWPsYlTZcvVW8JIu69,BTS,Intro : Persona,BIGHIT MUSIC,39,-1,11,1198775,2022-06-10,2022-06,"['Asian Music', 'Rock', 'Hip Hop']"
119,spotify:track:0PXd9WwmX3Y04KfHAaldDS,BTS,Run,BIGHIT MUSIC,119,-1,1,1186975,2022-06-10,2022-06,"['Asian Music', 'Pop']"
123,spotify:track:4lsn7TSeTBVqeBtlZQnQRw,BTS,Blood Sweat & Tears,BIGHIT MUSIC,123,-1,1,1176834,2022-06-10,2022-06,['Alternative/Indie']
183,spotify:track:4bZZVcgWWMWPBwzTTp642w,BTS,Filter,BIGHIT MUSIC,33,-1,15,957353,2022-06-10,2022-06,"['Asian Music', 'Pop']"
158,spotify:track:0TdWVbcerMAcvljXrl9gpG,BTS,Stay,BIGHIT MUSIC,13,-1,15,1027545,2022-06-10,2022-06,"['Asian Music', 'Pop']"
159,spotify:track:1O9AseW10CTi6nBLoj0O6K,Demi Lovato,SKIN OF MY TEETH,Island Records,159,-1,1,1025135,2022-06-10,2022-06,"['Rock', 'Pop']"
174,spotify:track:6KhAXXgDtEEahVzATvFNcn,BTS,Moon,BIGHIT MUSIC,56,-1,8,970595,2022-06-10,2022-06,"['Asian Music', 'Rock', 'Pop']"
104,spotify:track:47zs6e5M9Tsr7HhK45Gh6a,BTS,N.O,BIGHIT MUSIC,104,-1,1,1259950,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Hip Hop']"
